LakeID,km2,lat,lon,LakeName
B1,0.72,61.14511519,-146.8381818,NA
B2,0.22,61.69343392,-146.9239025,NA
B3,0.53,60.81752052,-144.8632891,NA
B4,0.6,60.47664785,-142.7732323,NA
B5,0.21,60.60770969,-142.20566,NA
B6,0.32,61.84838897,-143.9919146,NA
B7,0.06,61.83474237,-143.9932991,NA
B8,0.67,61.8182662,-143.993435,NA
B9,0.38,61.90755989,-143.2395681,NA
B10,0.1,61.90629403,-143.3240357,NA
B11,0.48,61.96511051,-143.1328874,NA
B12,0.48,61.97689215,-143.1092058,NA
B13,1.19,61.98782555,-142.948017,NA
B14,0.07,61.98421468,-143.0743861,NA
B15,0.6,62.00602117,-143.0497286,NA
B16,0.13,61.83852886,-143.3894552,NA
B17,0.24,61.78191376,-142.5043009,NA
B18,0.34,62.14290196,-142.851891,NA
B19,0.48,61.65643802,-141.9225489,NA
B20,2.77,61.629214,-141.9819473,NA
B21,0.17,60.8595552,-141.162663,NA
B22,0.16,60.78578536,-140.3675508,NA
B23,0.34,60.81548018,-140.4573864,NA
B24,0.41,60.09286933,-140.9974402,NA
B25,0.2,59.53951285,-138.4236052,NA
B26,0.2,59.49339173,-138.443028,NA
B27,0.49,59.5602248,-138.5351892,NA
B28,0.63,58.99692208,-134.562284,NA
B29,0.25,58.77812328,-134.4407183,NA
B30,0.37,58.76314355,-134.4666938,NA
B31,0.13,58.49045629,-134.1720512,NA
B32,0.1,57.1980836,-132.7322955,NA
B33,0.08,57.20062388,-132.5635486,NA
B34,1.2,57.09757934,-132.5542132,NA
B35,0.11,57.07313514,-132.50219,NA
B36,0.17,56.84430406,-131.9216257,NA
B37,0.18,56.8001534,-131.2990045,NA
B38,0.2,58.583511,-136.6668671,NA
B39,0.25,58.5450997,-136.6638596,NA
B40,0.2,58.5287509,-136.6676273,NA
B41,1.17,58.36553443,-136.6978039,NA
B42,0.14,58.42429996,-136.6437969,NA
B43,0.11,58.48590013,-137.1755587,NA
B44,NA,63.60826005,-147.5600261,NA
B45,0.14,63.49020927,-147.5225275,NA
B46,1.29,58.88700546,-133.8638793,NA
B47,0.1,58.82141389,-133.8242952,NA
B48,0.76,57.1595586,-131.9109995,NA
B49,0.51,57.97652958,-133.0908086,NA
B50,1.17,61.66418761,-146.8775494,NA
B51,0.38,61.10130282,-146.907481,NA
B52,0,61.02957311,-146.9803153,NA
B53,0.26,61.59553858,-146.4738687,NA
B54,2.17,61.59138925,-146.6349443,NA
B55,0.28,61.64096978,-152.1350668,NA
B56,0,61.66305638,-152.0864742,NA
B57,4.7,61.49322097,-151.9027777,NA
B58,1.19,61.48989273,-151.9939157,NA
B59,0.33,60.77425324,-143.7498955,NA
B60,5.47,60.70627273,-144.374514,NA
B61,1.18,60.26706536,-143.1599533,NA
B62,0.1,60.36414834,-142.5166032,NA
B63,0.1,60.36414834,-142.5166032,NA
B64,0.14,60.38838838,-142.5650154,NA
B65,0.14,60.38838838,-142.5650154,NA
B66,0,60.38626491,-142.5018556,NA
B67,0,60.38626491,-142.5018556,NA
B68,0.05,60.36680505,-142.496759,NA
B69,0,60.26385252,-143.2498607,NA
B70,0.33,60.29213646,-143.2720514,NA
B71,0.06,60.34897402,-142.5671824,NA
B72,0.3,60.35224844,-142.5357516,NA
B73,1.07,60.38378562,-142.5253013,NA
B74,3.2,60.10539291,-140.7067574,NA
B75,0,60.04360878,-140.2702173,NA
B76,0.24,59.63161404,-138.3624409,NA
B77,0.62,60.77114804,-142.9498418,NA
B78,0.26,60.77856862,-143.8400483,NA
B79,4.82,60.37688376,-143.5298323,NA
B80,12.78,60.40757255,-143.8061254,NA
B81,1.58,60.403225,-143.5505225,NA
B82,0.41,61.56042399,-143.0966375,NA
B83,0.51,60.77984788,-139.1334117,NA
B84,0.48,60.03884129,-150.4546919,NA
B85,0.4,60.19984368,-149.9440871,NA
B86,1.26,60.06870074,-149.6130377,NA
B87,8.42,60.95875845,-152.4468923,NA
B88,2.47,58.50118375,-136.6243493,NA
B89,3.32,58.50140144,-136.9158924,NA
B90,2.59,58.46644023,-136.807093,NA
B91,0.34,58.40689504,-136.6393431,NA
B92,0,58.96547726,-136.243477,NA
B93,9,58.76551528,-137.6234053,NA
B94,1,62.86206454,-150.7115415,NA
B95,0.13,63.01185156,-150.1710627,NA
B96,0.18,62.88048915,-150.5807283,NA
B97,0.07,62.7568161,-150.5494125,NA
B98,0.29,62.81979133,-150.8156125,NA
B99,0.3,62.79011833,-150.8760045,NA
B100,0.44,61.09829472,-147.1635416,NA
B101,0.13,60.12362097,-140.9887262,NA
B102,0.04,60.15475102,-140.9897397,NA
B103,1.74,60.13687351,-140.9905284,NA
B104,0.28,58.87680835,-137.7689593,NA
B105,0.05,59.77207498,-138.7880128,NA
B106,0.1,59.77083068,-138.7426913,NA
B107,0.19,59.76193019,-138.7747087,NA
B108,0.27,59.77900637,-138.7587958,NA
B109,0.19,62.78369224,-151.411723,NA
B110,0.38,60.42627907,-143.4212186,NA
B111,0.42,60.43544755,-143.3845453,NA
B112,0,60.43999466,-143.3182375,NA
B113,0.19,60.43483151,-143.2866359,NA
B114,0.42,61.21957361,-146.1413132,ValdezLake
B115,0.6,58.45760644,-134.4932181,SuicideBasin
B116,1.07,56.18754475,-130.0682533,SummitLake
B117,1.67,60.48355605,-148.9301765,SnowLake
B118,0.08,60.47921335,-149.0263055,MooseLake
B119,0.12,60.84376877,-143.2282456,NA
B120,0.33,60.33122992,-142.9522081,NA
B121,0.02,63.64894832,-146.4186812,NA
B122,0,60.01647623,-150.3414851,NA
B123,0.06,60.71160178,-152.4983973,NA
B124,0.02,60.37032018,-143.4608808,NA